"","charact","end","film","good","life","make","movi","onli","perform","play","scene","stori","time","veri","work","year","class","bad","plot"
"character(0)",0,3,0,2,0,2,0,0,1,0,1,0,2,1,0,0,"Positive",0,0
"character(0)1",1,0,0,1,2,1,2,0,1,3,0,1,0,0,0,1,"Positive",0,0
"character(0)2",0,1,0,1,0,2,2,2,0,2,1,1,2,1,2,2,"Positive",0,0
"character(0)3",0,0,0,0,0,3,5,3,5,2,1,2,4,0,2,1,"Positive",0,0
"character(0)4",2,1,0,0,0,0,6,1,0,2,2,0,0,0,0,0,"Positive",0,0
"character(0)5",1,1,0,3,4,0,0,0,2,0,0,7,3,0,1,1,"Positive",0,0
"character(0)6",3,1,0,2,0,7,4,2,4,2,2,2,1,4,2,3,"Positive",0,0
"character(0)7",4,0,0,1,1,3,2,0,4,1,0,1,2,0,0,1,"Positive",0,0
"character(0)8",1,0,0,0,2,2,0,0,1,1,1,1,0,0,0,0,"Positive",0,0
"character(0)9",1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,"Positive",0,0
"character(0)10",0,1,0,1,1,0,4,1,3,1,0,0,2,1,0,0,"Positive",0,0
"character(0)11",0,2,0,0,1,2,5,1,2,1,0,0,1,1,0,0,"Positive",0,0
"character(0)12",1,0,0,2,0,0,3,0,0,1,0,0,1,1,1,0,"Positive",0,0
"character(0)13",3,0,0,1,3,2,2,0,1,0,0,2,1,0,0,0,"Positive",0,0
"character(0)14",4,3,0,5,0,0,2,3,3,5,4,0,2,0,1,1,"Positive",0,0
"character(0)15",1,0,0,1,0,0,5,0,3,2,2,0,1,1,3,0,"Positive",0,0
"character(0)16",2,1,0,5,0,3,3,1,1,1,2,0,2,1,1,0,"Positive",0,0
"character(0)17",2,0,0,1,2,2,1,5,0,4,6,0,1,5,0,1,"Positive",0,0
"character(0)18",6,0,0,1,0,1,3,2,1,2,1,1,0,1,3,1,"Positive",0,0
"character(0)19",0,0,0,0,1,2,0,0,2,3,1,0,2,0,1,0,"Positive",0,0
"character(0)20",0,0,0,1,0,2,4,1,3,4,1,0,0,2,0,0,"Positive",0,0
"character(0)21",2,0,0,2,0,1,2,0,0,0,1,1,1,3,0,1,"Positive",0,0
"character(0)22",2,1,0,0,1,1,3,2,1,2,2,0,2,0,0,0,"Positive",0,0
"character(0)23",3,3,0,2,1,1,0,0,1,1,1,3,0,1,3,0,"Positive",0,0
"character(0)24",5,1,0,0,3,3,1,0,0,7,2,0,3,0,1,3,"Positive",0,0
"character(0)25",1,2,0,1,2,1,0,0,0,1,4,3,1,1,1,0,"Positive",0,0
"character(0)26",0,2,0,0,0,0,0,2,2,1,0,0,4,0,1,0,"Positive",0,0
"character(0)27",7,1,0,1,4,4,3,4,0,5,3,1,3,7,2,5,"Positive",0,0
"character(0)28",0,2,0,0,0,3,5,3,0,1,1,4,3,4,1,0,"Positive",0,0
"character(0)29",3,1,0,1,2,4,4,2,1,1,3,6,3,2,1,1,"Positive",0,0
"character(0)30",1,0,0,1,0,3,3,1,0,1,2,0,2,1,1,1,"Positive",0,0
"character(0)31",12,2,0,3,1,9,10,1,0,0,0,1,5,3,0,0,"Positive",0,0
"character(0)32",7,4,0,0,0,1,2,1,1,1,1,1,1,8,0,0,"Positive",0,0
"character(0)33",5,0,0,1,2,1,6,1,3,6,0,2,1,1,2,0,"Positive",0,0
"character(0)34",2,0,0,0,0,1,4,0,0,0,1,0,2,2,2,0,"Positive",0,0
"character(0)35",0,0,0,0,0,2,3,2,0,1,2,0,1,0,0,0,"Positive",0,0
"character(0)36",0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,"Positive",0,0
"character(0)37",2,0,0,1,0,1,11,1,0,2,0,2,1,1,3,2,"Positive",0,0
"character(0)38",1,0,0,0,4,0,4,0,0,0,0,1,0,0,2,0,"Positive",0,0
"character(0)39",0,3,0,0,0,0,0,3,0,2,0,0,1,0,3,1,"Positive",0,0
"character(0)40",0,1,0,4,0,3,5,2,0,3,1,0,4,1,1,0,"Positive",0,0
"character(0)41",8,0,0,0,7,1,0,2,7,0,1,0,2,0,3,7,"Positive",0,0
"character(0)42",3,1,0,8,2,1,6,2,0,0,0,0,4,1,3,0,"Positive",0,0
"character(0)43",1,3,0,0,2,1,5,0,3,0,0,1,1,0,2,1,"Positive",0,0
"character(0)44",0,1,0,2,0,1,5,1,0,0,2,2,4,0,0,0,"Positive",0,0
"character(0)45",3,1,0,2,1,2,2,1,2,1,2,1,4,0,2,0,"Positive",0,0
"character(0)46",2,0,0,1,2,1,5,0,0,0,1,0,1,1,0,2,"Positive",0,0
"character(0)47",4,1,0,1,1,1,4,1,1,0,2,5,1,0,2,0,"Positive",0,0
"character(0)48",3,1,0,1,1,2,0,2,1,5,1,0,0,0,0,4,"Positive",0,0
"character(0)49",1,0,0,0,0,2,6,0,0,2,0,2,1,0,0,0,"Positive",0,0
"character(0)50",0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,"Positive",0,0
"character(0)51",1,0,0,5,2,0,1,0,1,2,0,0,1,0,1,3,"Positive",0,0
"character(0)52",0,0,0,0,0,1,2,1,1,0,0,1,2,0,0,1,"Positive",0,0
"character(0)53",0,3,0,0,0,2,5,1,0,1,1,3,2,0,0,1,"Positive",0,0
"character(0)54",0,0,0,0,0,2,6,0,0,0,1,0,0,0,1,2,"Positive",0,0
"character(0)55",5,0,0,4,2,2,5,4,4,0,0,1,3,5,2,0,"Positive",0,0
"character(0)56",2,0,0,0,0,3,0,0,0,1,0,0,2,0,0,1,"Positive",0,0
"character(0)57",0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,"Positive",0,0
"character(0)58",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Positive",0,0
"character(0)59",5,0,0,2,2,3,2,2,0,1,0,1,1,1,1,1,"Positive",0,0
"character(0)60",0,0,0,1,2,6,0,0,0,0,6,1,0,1,0,0,"Positive",0,0
"character(0)61",0,0,0,1,0,1,0,1,0,3,2,0,2,1,0,0,"Positive",0,0
"character(0)62",7,0,0,1,0,4,2,2,0,0,1,6,5,5,4,1,"Positive",0,0
"character(0)63",0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,"Positive",0,0
"character(0)64",2,2,0,2,0,1,5,2,3,0,3,0,1,4,2,1,"Positive",0,0
"character(0)65",3,0,0,0,2,0,0,0,0,1,3,0,1,3,1,2,"Positive",0,0
"character(0)66",0,1,0,0,3,0,0,0,0,1,0,2,0,0,0,0,"Positive",0,0
"character(0)67",1,1,0,0,0,0,1,2,1,0,1,1,3,0,0,1,"Positive",0,0
"character(0)68",1,0,0,3,0,2,8,5,0,0,0,0,4,1,1,1,"Positive",0,0
"character(0)69",1,0,0,1,0,0,0,0,1,0,1,1,1,1,3,1,"Positive",0,0
"character(0)70",1,0,0,1,1,3,0,1,2,2,2,0,1,2,0,0,"Positive",0,0
"character(0)71",7,1,0,0,0,5,1,1,1,0,3,1,2,2,0,1,"Positive",0,0
"character(0)72",0,0,0,3,0,2,0,1,0,1,1,1,0,2,3,1,"Positive",0,0
"character(0)73",1,0,0,2,0,2,11,1,0,3,1,3,0,0,3,2,"Positive",0,0
"character(0)74",1,2,0,4,0,5,12,3,1,1,2,1,3,7,0,4,"Positive",0,0
"character(0)75",2,0,0,0,0,1,2,0,0,0,0,0,1,1,2,1,"Positive",0,0
"character(0)76",2,1,0,3,4,3,3,6,1,1,3,2,5,3,4,0,"Positive",0,0
"character(0)77",1,0,0,1,2,1,9,0,1,1,0,3,1,4,1,0,"Positive",0,0
"character(0)78",3,1,0,0,3,1,2,0,0,1,0,0,1,0,0,0,"Positive",0,0
"character(0)79",1,0,0,0,0,2,1,0,2,1,1,1,0,0,0,0,"Positive",0,0
"character(0)80",0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,"Positive",0,0
"character(0)81",2,0,0,1,2,1,2,1,1,0,1,2,2,0,1,0,"Positive",0,0
